2021-05-26 19:13:22,342 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:13:22,344 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
2021-05-26 19:14:42,584 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
2021-05-26 19:14:42,608 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-313-207.31095377604166.h5
2021-05-26 19:14:42,611 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:14:42,613 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
2021-05-26 19:15:03,626 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
2021-05-26 19:15:03,640 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-314-206.49752298990884.h5
2021-05-26 19:15:03,643 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:15:03,645 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
2021-05-26 19:15:24,477 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
2021-05-26 19:15:24,491 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-315-175.28623962402344.h5
2021-05-26 19:15:24,494 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:15:24,496 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
2021-05-26 19:15:46,670 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
2021-05-26 19:15:46,685 | models | INFO | Saved weights to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.weights-316-205.68424479166666.h5
2021-05-26 19:15:46,688 | training.trainingstatistics | INFO | Saved statistics to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.statistics.json
2021-05-26 19:15:46,690 | training.trainingconfig | INFO | Saved config to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.config.json
2021-05-26 19:16:08,399 | models | INFO | Saved model to C:\Users\leomo\OneDrive\Escritorio\voivetext\trainer\trainings\graves.json
